case_no,processing_center,case_status,received_date,decision_date,employer_name,employer_address_1,employer_address_2,employer_city,employer_state,employer_postal_code,alien_citizenship_country,employer_job_title,wage_offered_from,wage_offered_to,wage_per,prevailing_wage_job_title,pw_amount,pw_level,pw_soc_code,pw_soc_title,application_type
C-05181-10909,Chicago Processing Center,Certified,7/20/2005 0:00:00,7/25/2005 11:06:56,TAQUERIA EL ATACOR #3,11156 1/2 WHITTIER BLVD.,,WHITTIER,CALIFORNIA,90606,MEXICO,Cook,$10.45,$10.45,Hour,Cook,10.45,Level IV,35-2014.00,"Cooks, Restaurant",PERM
C-05181-10913,Chicago Processing Center,Certified,6/30/2005 0:00:00,7/14/2005 14:09:27,RABBI MAX D. RAISKIN WEST VALLEY HEBREW ACADEMY,5850 FALLBROOK AVE.,,WOODLAND HILLS,CALIFORNIA,91367,ISRAEL,"SHAMASH, SCHOOL",$10.50,,Hour,"Directors, Religious Activities and Education",10.12,Level I,21-2021.00,"Directors, Religious Activities and Education",PERM
C-05181-10916,Chicago Processing Center,Certified,7/13/2005 0:00:00,9/16/2005 12:34:19,"OSHYN, INC.",533 GLENDALE BLVD.,SUITE 101,LOS ANGELES,CALIFORNIA,90026,UNITED KINGDOM,Software Engineer,$56264.00,,Year,Software Engineer,56264,Level I,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05182-10925,Chicago Processing Center,Certified,7/1/2005 0:00:00,7/7/2005 10:23:32,"PROFICIENT BUSINESS SYSTEMS, INC.",175 E HAWTHORN PARKWAY,SUITE 405,VERNON HILLS,ILLINOIS,60061,INDIA,Software Engineer,$57491.00,,Year,"Computer Software Engineer, Applications",57491,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05182-10937,Chicago Processing Center,Certified,7/25/2005 0:00:00,9/20/2005 14:38:44,COVANSYS CORPORATION,32605 W. 12 MILE RD.,SUITE 250,FARMINGTON HILLS,MICHIGAN,48334,INDIA,Software Engineer,$26.47,,Hour,Software Engineer,26.47,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05182-10944,Chicago Processing Center,Denied,6/24/2005 0:00:00,,"ORO GLOBE DBA HAPPY JEWELRY, INC.",523 W. 6TH STREET SUITE #534,,LOS ANGELES,CALIFORNIA,90014,POLAND,"Exercise Rider, Thoroughbred Horses",$8.00,,Hour,"Exercise Rider, Thouroghbred Horses",8,,39-2011.00,Animal Trainers,PERM
C-05182-10955,Chicago Processing Center,Withdrawn,8/2/2005 0:00:00,,"SIGNATURE LANDSCAPE, INC",15705 PFLUMM,,OLATHE,KANSAS,66062,MEXICO,Mechanic,$13.28,,Hour,Farm Equipment Mechanics,13.28,Level II,49-3041.00,Farm Equipment Mechanics,PERM
C-05182-10962,Chicago Processing Center,Denied,7/25/2005 0:00:00,,COVANSYS CORPORATION,32605 W. 12 MILE RD.,SUITE 250,FARMINGTON HILLS,MICHIGAN,48334,INDIA,Software Engineer,$26.47,,Hour,Software Engineer,26.47,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05182-10964,Chicago Processing Center,Certified,7/11/2005 0:00:00,8/23/2005 11:21:07,PROTECTION PLUS DENTAL CENTER,1430 N. CENTRAL AVE STE #A,,AVONDALE,ARIZONA,85323,SYRIA,Dentist,$50.72,,Hour,Dentist,50.72,Level I,29-1021.00,"Dentists, General",PERM
C-05182-11004,Chicago Processing Center,Denied,7/1/2005 0:00:00,,UNIVERSITY OF UTAH,"INTERNATIONAL CENTER, ROOM 410 UNION",200 S CENTRAL CAMPUS DRIVE,SALT LAKE CITY,UTAH,84112-9113,INDIA,Laboratory Supervisor,$55515.00,,Year,Medical Scientist,55515,Level II,19-1042.00,"Medical Scientists, Except Epidemiologists",PERM
C-05182-11011,Chicago Processing Center,Certified,7/20/2005 0:00:00,7/27/2005 12:57:22,"S&R PROFESSIONALS, L.P.","12123, MILLSTREAM WAY",,HOUSTON,TEXAS,77041,INDIA,Programmer Analyst,$53934.00,,Year,"Computer Software Engineers, Applications",53934,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05182-11023,Chicago Processing Center,Denied,7/1/2005 0:00:00,,HOLCIM (US) INC.,6211 ANN ARBOR ROAD,,DUNDEE,MICHIGAN,48131,UNITED KINGDOM,Plant Manager,$120120.00,,Year,General and Operations Manager,40,Level IV,11-1021.00,General and Operations Managers,PERM
C-05182-11025,Chicago Processing Center,Denied,7/1/2005 0:00:00,,WOMAN'S  WELLNESS CENTER P.C.,9136 COLUMBIA AVE,110 RIDGE ROAD,MUNSTER,INDIANA,46321,BANGLADESH,Pediatrician,$120000.00,,Year,Pediatrician,115918,Level IV,29-1065.00,"Pediatricians, General",PERM
C-05182-11036,Chicago Processing Center,Certified,7/6/2005 0:00:00,7/11/2005 12:19:56,TANOX INC.,10555 STELLA LINK,,HOUSTON,TEXAS,77025,VENEZUELA,Process/Biomedical Engineer,$57000.00,,Year,Biochemists,47174,Level I,19-1021.00,Biochemists and Biophysicists,PERM
C-05182-11038,Chicago Processing Center,Certified,7/1/2005 0:00:00,9/8/2005 10:58:58,"FACDIR, INC.",10658 CHESTNUT AVE.,,STANTON,CALIFORNIA,90680,SOUTH KOREA,Database Administrator,$25.00,,Hour,Database Administrator,24.28,Level II,15-1061.00,Database Administrators,PERM
C-05182-11043,Chicago Processing Center,Certified,7/7/2005 0:00:00,7/19/2005 13:53:23,"INFOWEB SYSTEMS, INC.","3435 ASBURY ROAD,  SUITE 175",,DUBUQUE,IOWA,52002,INDIA,Programmer Analyst,$48000.00,$48000.00,Year,Programmer analyst,43742,Level II,15-1021.00,Computer Programmers,PERM
C-05182-11053,Chicago Processing Center,Certified,7/1/2005 0:00:00,7/15/2005 10:24:15,UNIVERSITY OF UTAH,"INTERNATIONAL CENTER, ROOM 410 UNION",200 S CENTRAL CAMPUS DRIVE,SALT LAKE CITY,UTAH,84112-9113,CYPRUS,Assistant Professor,$135000.00,,Year,"Business Teacher, Postsecondary",66183,Level III,25-1011.00,"Business Teachers, Postsecondary",PERM
C-05182-11060,Chicago Processing Center,Certified,8/3/2005 0:00:00,8/11/2005 10:20:09,"XENIA PLANNING & ADVERTISING, INC.","2341 W. 205TH STREET, SUITE 112",,TORRANCE,CALIFORNIA,90501,JAPAN,Editor,$18.08,,Hour,Editor,18.08,Level II,27-3041.00,Editors,PERM
C-05182-11064,Chicago Processing Center,Denied,7/1/2005 0:00:00,,"INFINITE COMPUTING SYSTEMS, INC.","230 2ND ST SE, SUITE 214",,CEDAR RAPIDS,IOWA,52401,INDIA,Computer Programmer,$60000.00,,Year,Computer Programmer,50773,Level III,15-1021.00,Computer Programmers,PERM
C-05182-11073,Chicago Processing Center,Certified,7/1/2005 0:00:00,9/16/2005 12:31:34,"HYSTERIC GLAMOUR USA, INC.",2323 E.OLYMPIC BLVD.,UNIT 11,LOS ANGELES,CALIFORNIA,90021,JAPAN,Sales Manager,$49.02,,Hour,Sales Mananger,49.02,Level III,11-2022.00,Sales Managers,PERM
C-05182-11074,Chicago Processing Center,Certified,7/19/2005 0:00:00,9/13/2005 13:31:20,"JOONGANG DAILY NEWS CA, INC. DBA THE KOREA DAILY",690 WILSHIRE PLACE,,LOS ANGELES,CALIFORNIA,90005,SOUTH KOREA,News Reporter,$44782.00,,Year,News Reporter,44782,Level II,27-3020.00,"News Analysts, Reporters and Correspondents",PERM
C-05182-11085,Chicago Processing Center,Certified,7/5/2005 0:00:00,7/14/2005 9:38:27,"AD ZONE, INC.",3360 W. OLYMPIC BLVD. #203,,LOS ANGELES,CALIFORNIA,90019,SOUTH KOREA,Graphic Designer,$13.00,,Hour,Graphic Designer,12.98,Level I,27-1024.00,Graphic Designers,PERM
C-05182-11093,Chicago Processing Center,Certified,7/25/2005 0:00:00,9/28/2005 15:06:50,"KOREA RADIO USA, INC.","3700 WILSHIRE BLVD., SUITE 670",,LOS ANGELES,CALIFORNIA,90010,SOUTH KOREA,Market Research Analyst,$15.28,,Hour,Market Research Analysts,15.28,Level I,19-3021.00,Market Research Analysts,PERM
C-05182-11128,Chicago Processing Center,Certified,7/28/2005 0:00:00,8/5/2005 13:09:14,"DAHLEN, BERG & CO.",200 SOUTH 6TH STREET,SUITE 300,MINNEAPOLIS,MINNESOTA,55402,UNITED KINGDOM,Operations - Maintenance Specialist,$66000.00,$105000.00,Year,Mechanical Engineer,57429,Level III,17-2141.00,Mechanical Engineers,PERM
C-05182-11134,Chicago Processing Center,Certified,7/26/2005 0:00:00,8/8/2005 14:46:10,ALDINE INDEPENDENT SCHOOL DISTRICT,15010 ALDINE WESTFIELD ROAD,,HOUSTON,TEXAS,77032,PHILIPPINES,Elementary School Teacher,$38500.00,,Year,Elementary School Teacher,35440,Level I,25-2021.00,"Elementary School Teachers, Except Special Educati",PERM
C-05182-11140,Chicago Processing Center,Withdrawn,7/11/2005 0:00:00,,SHENGHUA CHEN,"2018 FARRELL AVENUE, #A",,REDONDO BEACH,CALIFORNIA,90278,CHINA,"Cook, Private Household-Chinese Style",$12.00,,Hour,"Cooks,Private Household,Chinese Style)",11.4,Level III,35-2013.00,"Cooks, Private Household",PERM
C-05182-11150,Chicago Processing Center,Denied,7/1/2005 0:00:00,,CHINA GARDEN,1481 N. PERRY ST,,OTTAWA,OHIO,45875,CHINA,Cook,$12.00,,Hour,cook,12,Level I,35-2014.00,"Cooks, Restaurant",PERM
C-05182-11187,Chicago Processing Center,Withdrawn,7/1/2005 0:00:00,,"INFOBIZZ, INC",37053 CHERRY STREET,SUITE 203A,NEWARK,CALIFORNIA,94560,INDIA,PROJECT MANAGER (E-COMMERCE),$125000.00,,Year,Computer & InfoSystems Manager,60.01,Level IV,11-3021.00,Computer and Information Systems Managers,PERM
C-05182-11189,Chicago Processing Center,Certified,7/6/2005 0:00:00,7/18/2005 9:38:04,"OTTO VELASQUEZ, MD PHD AND ASSOCIATES",7019 NORTH 1ST LANE,,MCALLEN,TEXAS,78504,COLOMBIA,Pediatrician,$130000.00,,Year,Pediatrician,106018,Level I,29-1065.00,"Pediatricians, General",PERM
C-05182-11191,Chicago Processing Center,Certified,7/20/2005 0:00:00,7/28/2005 11:15:22,ROARING FORK SCHOOL DISTRICT RE-1,1405 GRAND AVE.,,GLENWOOD SPRINGS,COLORADO,81601,CANADA,Elementary School Teacher,$30880.00,,Year,Special Education Teacher,30880,Level I,25-2041.00,"Special Education Teachers, Preschool, Kindergarte",PERM
C-05182-11195,Chicago Processing Center,Withdrawn,7/12/2005 0:00:00,,"R.G. SIMPSON CONSTRUCTION,  INC.",2448 LOVE LN,,ORANGE,CALIFORNIA,92865,MEXICO,Carpenter,$18.55,$18.55,Hour,Carpenter,18.55,Level II,47-2031.00,Carpenters,PERM
C-05182-11202,Chicago Processing Center,Certified,7/8/2005 0:00:00,7/12/2005 11:33:21,"CALTRA, INC.",723 GIBBONS STREET,SUITE B,LOS ANGELES,CALIFORNIA,90031,SOUTH KOREA,Document Translator,$20.00,,Hour,Interpreters and Translators,15.35,Level II,27-3091.00,Interpreters and Translators,PERM
C-05182-11204,Chicago Processing Center,Certified,7/8/2005 0:00:00,7/18/2005 9:34:13,OLD TIBET,948 PEARL STREET,,BOULDER,COLORADO,80302,NEPAL,Purchasing and Business Manager,$11.84,,Hour,Purchasing and Business Manager,11.84,Level I,37-1012.02,First-Line Supervisors and Manager/Supervisors - L,PERM
C-05182-11209,Chicago Processing Center,Certified,7/1/2005 0:00:00,7/18/2005 9:28:23,IRIYA BANSEI SECURITIES CO. (USA) LTD.,"20 NORTH CLARK STREET, SUITE 530",,CHICAGO,ILLINOIS,60602,MALAYSIA,Market Research Analyst,$42000.00,,Year,Market Research Analyst,35693,Level II,19-3021.00,Market Research Analysts,PERM
C-05183-11216,Chicago Processing Center,Certified,7/2/2005 0:00:00,7/27/2005 12:53:14,"COMPUTER CONTRACT SERVICES, INC.",P O BOX 436,,ANN ARBOR,MICHIGAN,48106,CANADA,Senior System Analyst - Consultant,$37.00,$38.00,Hour,Computer Systems Analysts,36.46,Level IV,15-1051.00,Computer Systems Analysts,PERM
C-05183-11229,Chicago Processing Center,Withdrawn,7/11/2005 0:00:00,,TANISYS TECHNOLOGY INC. (FORMERLY ATESUB INC.),12201 TECHNOLOGY BLVD. STE 125,,AUSTIN,TEXAS,78727,SOUTH KOREA,Field Applications Engineer,$90000.00,,Year,Sales Engineer,62234,Level II,41-9031.00,Sales Engineers,PERM
C-05183-11233,Chicago Processing Center,Withdrawn,8/2/2005 0:00:00,,DBA/ MONTESSORI SCHOOL OF CHINO,4511 RIVERSIDE DRIVE,,CHINO,CALIFORNIA,91710,SRI LANKA,Montessori Pre-School Teacher,$9.77,,Hour,Preschool Teacher,9.77,Level II,25-2011.00,"Preschool Teachers, Except Special Education",PERM
C-05183-11238,Chicago Processing Center,Certified,7/27/2005 0:00:00,7/29/2005 14:27:55,DBA/ MONTESSORI SCHOOL OF CHINO,4511 RIVERSIDE DRIVE,,CHINO,CALIFORNIA,91710,SRI LANKA,Montessori Pre-School Teacher,$9.77,,Hour,Preschool Teacher,9.77,Level II,25-2011.00,"Preschool Teachers, Except Special Education",PERM
C-05183-11246,Chicago Processing Center,Denied,7/2/2005 0:00:00,,"FNS, INC.",18301 BROADWICK ST,,RANCHO DOMINGUEZ,CALIFORNIA,90220,SOUTH KOREA,Accountant,$50000.00,,Year,Accountant,23.73,Level II,13-2011.00,Accountants and Auditors,PERM
C-05184-11248,Chicago Processing Center,Denied,7/3/2005 0:00:00,,STAR BEAUTY PLUS,20900 LIBBY ROAD,,MAPLE HEIGHTS,OHIO,44137,SOUTH KOREA,Hairstylist,$21528.00,,Year,Hairstylist,21528,Level II,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",PERM
C-05184-11268,Chicago Processing Center,Certified,7/5/2005 0:00:00,7/18/2005 10:08:22,"SAMSUNG SDS AMERICA, INC.",85 WEST TASMAN DRIVE,,SAN JOSE,CALIFORNIA,95134,SOUTH KOREA,Consultant - Software,$70000.00,,Year,"Software Engineer, Systems Software",63752,Level II,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05185-11298,Chicago Processing Center,Certified,7/4/2005 0:00:00,8/24/2005 14:40:41,14M INTERNATIONAL CORP.,4544 N. MAGNOLIA,,CHICAGO,ILLINOIS,60640,PAKISTAN,Information Systems Administrator,$56909.00,,Year,Info. Systems Administrator,56909,Level I,11-3021.00,Computer and Information Systems Managers,PERM
C-05185-11311,Chicago Processing Center,Denied,7/4/2005 0:00:00,,PHY BROTHERS INC. D/B/A HOUSE OF KOBE,8101 BROADWAY,,MERRILLVILLE,INDIANA,46410,SOUTH KOREA,Chef,$25000.00,,Year,Chef,23275,Level II,35-1011.00,Chefs and Head Cooks,PERM
C-05185-11313,Chicago Processing Center,Denied,7/4/2005 0:00:00,,PHY BROTHERS INC. D/B/A HOUSE OF KOBE,8101 BROADWAY,,MERRILLVILLE,INDIANA,46410,SOUTH KOREA,Chef,$25000.00,,Year,Chef,23275,Level II,35-1011.00,Chefs and Head Cooks,PERM
C-05185-11315,Chicago Processing Center,Certified,7/4/2005 0:00:00,7/14/2005 12:55:38,"HUNTER INDUSTRIES, INC.",1940 DIAMOND STREET,,SAN MARCOS,CALIFORNIA,92078,MEXICO,"Contdroller, Mexican operations",$91000.00,,Year,Financial Manager/Controller,75504,Level II,11-3031.00,Financial Managers,PERM
C-05185-11318,Chicago Processing Center,Certified,7/4/2005 0:00:00,7/14/2005 10:18:59,"SHERWOOD AMERICA, INC.",13101 MOORE STREET,,CERRITOS,CALIFORNIA,90703,SOUTH KOREA,Product Planner,$21.00,,Hour,Market Research Analyst,20.56,Level II,19-3021.00,Market Research Analysts,PERM
C-05185-11319,Chicago Processing Center,Withdrawn,7/4/2005 0:00:00,,CYBERNET SYSTEMS CORPORATION,727 AIRPORT BLVD.,,ANN ARBOR,MICHIGAN,48108,INDIA,Senior Research Engineer - Manager,$43.66,,Hour,Engineering Manager,43.66,Level II,11-9041.00,Engineering Managers,PERM
C-05185-11320,Chicago Processing Center,Withdrawn,7/4/2005 0:00:00,,"ST. COLETTA'S OF ILLINOIS, INC.",18350 CROSSING DRIVE,,TINLEY PARK,ILLINOIS,60477,CHINA,Accountant,$45198.00,,Year,Accountant,45198,Level II,13-2011.01,Accountants,PERM
C-05185-11321,Chicago Processing Center,Certified,7/4/2005 0:00:00,9/21/2005 12:49:16,"HUNTER INDUSTRIES, INC.",1940 DIAMOND STREET,,SAN MARCOS,CALIFORNIA,92078,MEXICO,Mechanical Engineer,$74422.00,,Year,Mechanical Engineer,74422,Level III,17-2141.00,Mechanical Engineers,PERM
C-05185-11322,Chicago Processing Center,Certified,7/4/2005 0:00:00,7/18/2005 9:19:52,CALIFORNIA STATE UNIVERSITY DOMINGUEZ HILLS,1000 E. VICTORIA STREET,,CARSON,CALIFORNIA,90747,SOUTH KOREA,ASSISTANT PROFESSOR,$60000.00,,Year,ASSISTANT PROFESSOR,60000,Level III,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecon",PERM
C-05185-11324,Chicago Processing Center,Certified,7/4/2005 0:00:00,8/25/2005 12:48:55,"HDR ENGINEERING, INC.",8404 INDIAN HILLS DRIVE,,OMAHA,NEBRASKA,68114,CHINA,Project  Engineer,$78312.00,,Year,Environmental Engineer,78312,Level II,17-2081.00,Environmental Engineers,PERM
C-05185-11326,Chicago Processing Center,Denied,7/4/2005 0:00:00,,GARDEN PARK CARE CENTER,12681 HASTER STREET,,GARDEN GROVE,CALIFORNIA,92840,PHILIPPINES,CERTIFIED NURSE ASSISTANT,$10.00,$11.00,Hour,CERTIFIED NURSE ASSISTANT,9.39,Level I,31-1012.00,"Nursing Aides, Orderlies, and Attendants",PERM
C-05185-11327,Chicago Processing Center,Certified,7/4/2005 0:00:00,7/12/2005 12:49:23,"HUNTER INDUSTRIES, INC.",1940 DIAMOND STREET,,SAN MARCOS,CALIFORNIA,92078,CANADA,Information Services Manager,$98405.00,,Year,Computer and Information Systems Manager,98405,Level III,11-3021.00,Computer and Information Systems Managers,PERM
C-05185-11331,Chicago Processing Center,Denied,7/4/2005 0:00:00,,GARDEN PARK CARE CENTER,12681 HASTER STREET,,GARDEN GROVE,CALIFORNIA,92840,PHILIPPINES,CERTIFIED NURSE ASSISTANT,$10.00,$11.00,Hour,CERTIFIED NURSE ASSISTANT,9.39,Level I,31-1012.00,"Nursing Aides, Orderlies, and Attendants",PERM
C-05185-11333,Chicago Processing Center,Withdrawn,7/4/2005 0:00:00,,"LAW OFFICES OF JOY HUANG, P.C.",1761 E. MCNAIR DR. SUITE 101,,TEMPE,ARIZONA,85283,CHINA,Investment Analsyt,$32769.00,,Year,Financial Analyst,32769,Level I,13-2051.00,Financial Analysts,PERM
C-05186-11347,Chicago Processing Center,Denied,7/6/2005 0:00:00,,EL SOBRANTE CHRISTIAN SCHOOL,5070 APPIAN WAY,,EL SOBRANTE,CALIFORNIA,94803,PHILIPPINES,Juniot/Senior High School  Mathematics Teacher,$40900.00,$41000.00,Year,High School Math Teacher,40900,Level I,25-2031.00,"Secondary School Teachers, Except Special and Voca",PERM
C-05186-11365,Chicago Processing Center,Certified,7/5/2005 0:00:00,7/29/2005 14:33:20,BOWLING GREEN STATE UNIVERSITY,1001 E. WOOSTER STREET,,BOWLING GREEN,OHIO,43403,CHINA,Assistant Professor,$45000.00,,Year,Assistant Professor,41887,Level II,25-1032.00,"Engineering Teachers, Postsecondary",PERM
C-05186-11376,Chicago Processing Center,Denied,6/28/2005 0:00:00,,"LIU & DB ENTERPRISES, INC.",4517 S 88TH ST.,,OMAHA,NEBRASKA,68127,CHINA,E Commerce Specialist,$40000.00,,Year,Business Operations Specialist,39957,Level I,13-1199.99,"Business Operations Specialists, All Other",PERM
C-05186-11377,Chicago Processing Center,Denied,7/25/2005 0:00:00,,COVANSYS CORPORATION,32605 W. 12 MILE RD.,SUITE 250,FARMINGTON HILLS,MICHIGAN,48334,INDIA,Software Engineer,$26.47,,Hour,Software Engineer,26.47,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05186-11388,Chicago Processing Center,Denied,6/24/2005 0:00:00,,"ORO GLOBE DBA HAPPY JEWELRY, INC.",523 W. 6TH STREET SUITE #534,,LOS ANGELES,CALIFORNIA,90014,MEXICO,Jewelry Wholesale Marketing Manager,$25.40,,Hour,Jewelry Wholesale Marketing Manager,25.4,Level II,41-1012.00,First-Line Supervisors/Managers of Non-Retail Sale,PERM
C-05186-11394,Chicago Processing Center,Denied,6/27/2005 0:00:00,,"EAGLE K. S. IMPORT & EXPORTS, INC.",1211 MOUNTAIN VIEW CIRCLE,,AZUSA,CALIFORNIA,91702,PHILIPPINES,Computer Technician,$25.05,,Hour,Computer Support Specialist,25.05,Level II,15-1041.00,Computer Support Specialists,PERM
C-05186-11397,Chicago Processing Center,Denied,7/11/2005 0:00:00,,R2 TECHNOLOGIES LLC,"480 CONGRESS ST, STE 626",,PORTLAND,MAINE,04101,INDIA,Senior Software Engineer,$83000.00,,Year,Senior Software Engineer,82722,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05186-11404,Chicago Processing Center,Denied,6/24/2005 0:00:00,,ROBERT HESS JR. RACING STABLES,HOLLYWOOD PARK RACE TRACK,1050 S. PRAIRIE AVE.,INGLEWOOD,CALIFORNIA,90301,POLAND,"Exercise Rider, Thoroughbred Horses",$8.00,,Hour,"Exercise Rider, Thouroghbred Horses",8,,39-2011.00,Animal Trainers,PERM
C-05186-11406,Chicago Processing Center,Denied,7/5/2005 0:00:00,,"RAMSOFT SYSTEMS, INC.",29777 TELEGRAPH ROAD,SUITE 3465,SOUTHFIELD,MICHIGAN,48034,INDIA,Programmer Analyst,$65000.00,,Year,Programmer Analyst,26.47,Level I,15-1021.00,Computer Programmers,PERM
C-05186-11418,Chicago Processing Center,Denied,7/5/2005 0:00:00,,"QUANTECH GLOBAL SERVICES, L. L. C.","2123 UNIVERSITY PARK DR, SUITE 150",,OKEMOS,MICHIGAN,48864,INDIA,Software Engineer,$22.64,$25.00,Hour,electrial engineers,22.64,Level I,17-2071.00,Electrical Engineers,PERM
C-05186-11427,Chicago Processing Center,Denied,7/5/2005 0:00:00,,"MEDTEC, INC.",1401 8TH STREET SE,,ORANGE CITY,IOWA,51041,UNITED KINGDOM,International Business Analyst,$43000.00,,Year,Market Research Analyst,38418,Level III,19-3021.00,Market Research Analysts,PERM
C-05186-11429,Chicago Processing Center,Certified,7/5/2005 0:00:00,7/15/2005 14:57:51,"INFINITE COMPUTING SYSTEMS, INC.","230 2ND ST SE, SUITE 214",,CEDAR RAPIDS,IOWA,52401,INDIA,Computer Programmer,$60000.00,,Year,Computer Programmer,50773,Level III,15-1021.00,Computer Programmers,PERM
C-05186-11430,Chicago Processing Center,Denied,7/7/2005 0:00:00,,RIPON COLLEGE,300 SEWARD STREET,P.O. BOX 248,RIPON,WISCONSIN,54971,CHINA,Assistant Professor of Economics,$3983.00,,Month,Assistant Professor-Economics,38000,Level I,25-1063.00,"Economics Teachers, Postsecondary",PERM
C-05186-11437,Chicago Processing Center,Denied,7/5/2005 0:00:00,,NEW HONG KONG RESTAURANT,156 N. BROADWAY,P.O. BOX 56,BLACKFOOT,IDAHO,83221,CHINA,CHINESE CUISINE COOK,$9.50,,Hour,"Cook, Restaurant",8,Level II,35-2014.00,"Cooks, Restaurant",PERM
C-05186-11445,Chicago Processing Center,Certified,7/20/2005 0:00:00,8/18/2005 13:04:56,BETHEL PRESBYTERIAN CHURCH OF SO. CALIFORNIA,18422 BLOOMFIELD AVE.,,CERRITOS,CALIFORNIA,90703,SOUTH KOREA,Music Minister,$24980.00,,Year,Music Director,24980,Level I,27-2041.01,Music Directors,PERM
C-05186-11447,Chicago Processing Center,Denied,7/5/2005 0:00:00,,"QUANTECH GLOBAL SERVICES, L. L. C.","2123 UNIVERSITY PARK DR, SUITE 150",,OKEMOS,MICHIGAN,48864,INDIA,Software Engineer,$22.64,$25.00,Hour,electrial engineers,22.64,Level I,17-2071.00,Electrical Engineers,PERM
C-05186-11449,Chicago Processing Center,Denied,7/7/2005 0:00:00,,3DVISION TECHNOLOGIES CORPORATION,3600 PARK 42 DR.,SUITE 120A,CINCINNATI,OHIO,45241,INDIA,CAE Technical Support Specialist,$58843.00,,Year,CAE Technical Support Specialist,58843,Level II,17-2141.00,Mechanical Engineers,PERM
C-05186-11470,Chicago Processing Center,Certified,7/5/2005 0:00:00,7/14/2005 14:10:59,HARRIS CORPORATION,637 DAVIS DRIVE,,DURHAM,NORTH CAROLINA,27713,PHILIPPINES,Senior Software Engineer,$41.34,,Hour,Senior Software Engineer,37.78,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05186-11475,Chicago Processing Center,Denied,7/5/2005 0:00:00,,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,"3333 BURNET AVENUE, MAIL LOCATION 7005",,CINCINNATI,OHIO,45229,LIBYA,Staff Physician-Hospitalist,$110000.00,,Year,Pediatrician,96221,Level I,29-1065.00,"Pediatricians, General",PERM
C-05186-11479,Chicago Processing Center,Denied,7/21/2005 0:00:00,,"SAVEN TECHNOLOGIES, INC",6250 NORTH RIVER ROAD,SUITE 3050,ROSEMONT,ILLINOIS,60018,INDIA,IT Manager,$89440.00,$100000.00,Year,IT Manager,89440,Level IV,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05186-11483,Chicago Processing Center,Withdrawn,7/7/2005 0:00:00,,LOUISE BRANDER,11950 KLING ST.,APT. 109,NORTH HOLLYWOOD,CALIFORNIA,91607,POLAND,Caregiver,$11.00,,Hour,Personal and home Care Aides,7.67,Level I,39-9021.00,Personal and Home Care Aides,PERM
C-05186-11493,Chicago Processing Center,Certified,7/22/2005 0:00:00,9/16/2005 16:37:08,"GAIUS APPAREL, INC.",2805 S. MAIN ST.,,LOS ANGELES,CALIFORNIA,90007,SOUTH KOREA,Garment Sample Maker,$8.22,,Hour,Tailors and Custom Sewers,8.22,Level I,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",PERM
C-05186-11501,Chicago Processing Center,Certified,7/5/2005 0:00:00,7/11/2005 10:53:27,MART NARA CORPORATION,4653 ½ BEVERLY BLVD.,,LOS ANGELES,CALIFORNIA,90004,SOUTH KOREA,CHEF,$16.38,,Hour,CHEF,16.38,Level II,35-1011.00,Chefs and Head Cooks,PERM
C-05186-11502,Chicago Processing Center,Certified,8/16/2005 0:00:00,9/26/2005 9:11:49,"TWINMICRO, INC.","1580 OAKLAND ROAD, C113",,SAN JOSE,CALIFORNIA,95131,CHINA,Software Engineer,$81661.00,,Year,Software Engineer,81660.8,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
C-05186-11507,Chicago Processing Center,Certified,7/5/2005 0:00:00,9/13/2005 10:34:30,"QUANTECH GLOBAL SERVICES, L. L. C.","2123 UNIVERSITY PARK DR, SUITE 150",,OKEMOS,MICHIGAN,48864,INDIA,Software Engineer,$30.00,$35.00,Hour,Electrical Engineers,22.64,Level I,17-2071.00,Electrical Engineers,PERM
C-05186-11516,Chicago Processing Center,Certified,8/19/2005 0:00:00,9/28/2005 12:56:58,EDGE SYSTEMS CORPORATION,2277 REDONDO AVENUE,,SIGNAL HILL,CALIFORNIA,90755,TAIWAN,Market Specialist,$31782.40,,Year,Market Research Analyst,15.28,Level I,19-3021.00,Market Research Analysts,PERM
C-05186-11526,Chicago Processing Center,Denied,7/5/2005 0:00:00,,"ALTA COLLEGES, INC.",2000 S. COLORADO BLVD.,"TOWER 2, SUITE 800",DENVER,COLORADO,80222,INDIA,Team Lead - Conversion Team,$39.68,,Hour,Team Lead - Conversion Team,39.68,Level II,11-3021.00,Computer and Information Systems Managers,PERM
